fixselect,tax_1,tax_2,tax_3,tax_4,tax_5,tax_6,tax_7,tax_8,tax_bar,names(parsr),nam_1,nam_2,nam_3,nam_4,nam_5,nam_6,nam_7,nam_8,tax_fill
027472010_Bacteroidetes_Bacteroidia_Marinilabiliales_Marinilabiliaceae_Saccharicrinis_PFAM,027472010,Bacteroidetes,Bacteroidia,Marinilabiliales,Marinilabiliaceae,Saccharicrinis,PFAM,NA,Bacteroidetes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacteroidetes
076931655_Bacteroidetes_Bacteroidia_Bacteroidales_Dysgonamonadaceae_Proteiniphilum_PFAM,076931655,Bacteroidetes,Bacteroidia,Bacteroidales,Dysgonamonadaceae,Proteiniphilum,PFAM,NA,Bacteroidetes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacteroidetes
OIP52830_Unknown_Unknown_Unknown_Unknown_Fibrobacteres_BLAST,OIP52830,Unknown,Unknown,Unknown,Unknown,Fibrobacteres,BLAST,NA,Fibrobacteres,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fibrobacteres
073229934_Fibrobacteres_Fibrobacteria_Fibrobacterales_Fibrobacteraceae_Fibrobacter_PFAM,073229934,Fibrobacteres,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,Fibrobacter,PFAM,NA,Fibrobacteres,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fibrobacteres
088665569_Fibrobacteres_Fibrobacteria_Fibrobacterales_Fibrobacteraceae_Fibrobacter_BLAST,088665569,Fibrobacteres,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,Fibrobacter,BLAST,NA,Fibrobacteres,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fibrobacteres
109734237_Unknown_Unknown_Unknown_Unknown_unclassified_BLAST,109734237,Unknown,Unknown,Unknown,Unknown,unclassified,BLAST,NA,unclassified,WP_109734237.1 MULTISPECIES: TIGR04133 family radical SAM/SPASM protein [unclassified Fibrobacter],WP_109734237.1,MULTISPECIES:,TIGR04133,family,radical,SAM/SPASM,protein,[unclassified Fibrobacter],NA
173305866_Fibrobacteres_Fibrobacteria_Fibrobacterales_Fibrobacteraceae_Fibrobacter_BLAST,173305866,Fibrobacteres,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,Fibrobacter,BLAST,NA,Fibrobacteres,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fibrobacteres
173845965_Fibrobacteres_Fibrobacteria_Fibrobacterales_Fibrobacteraceae_Fibrobacter_BLAST,173845965,Fibrobacteres,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,Fibrobacter,BLAST,NA,Fibrobacteres,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fibrobacteres
AIF26181_Unknown_Unknown_Unknown_Unknown_uncultured_BLAST,AIF26181,Unknown,Unknown,Unknown,Unknown,uncultured,BLAST,NA,uncultured,"AIF26181.1 putative radical SAM protein, partial [uncultured bacterium Ad_143_D13_contig1]",AIF26181.1,putative,radical,SAM,"protein,",partial,[uncultured,bacterium Ad_143_D13_contig1],NA
163415546_Fibrobacteres_Fibrobacteria_Fibrobacterales_Fibrobacteraceae_Fibrobacter_BLAST,163415546,Fibrobacteres,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,Fibrobacter,BLAST,NA,Fibrobacteres,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fibrobacteres
088657530_Fibrobacteres_Fibrobacteria_Fibrobacterales_Fibrobacteraceae_Fibrobacter_BLAST,088657530,Fibrobacteres,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,Fibrobacter,BLAST,NA,Fibrobacteres,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fibrobacteres
073320069_Fibrobacteres_Fibrobacteria_Fibrobacterales_Fibrobacteraceae_Fibrobacter_BLAST,073320069,Fibrobacteres,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,Fibrobacter,BLAST,NA,Fibrobacteres,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fibrobacteres
173381534_Fibrobacteres_Fibrobacteria_Fibrobacterales_Fibrobacteraceae_Fibrobacter_BLAST,173381534,Fibrobacteres,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,Fibrobacter,BLAST,NA,Fibrobacteres,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fibrobacteres
073187103_Fibrobacteres_Fibrobacteria_Fibrobacterales_Fibrobacteraceae_Fibrobacter_BLAST,073187103,Fibrobacteres,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,Fibrobacter,BLAST,NA,Fibrobacteres,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fibrobacteres
173366740_Fibrobacteres_Fibrobacteria_Fibrobacterales_Fibrobacteraceae_Fibrobacter_BLAST,173366740,Fibrobacteres,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,Fibrobacter,BLAST,NA,Fibrobacteres,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fibrobacteres
097035414_Fibrobacteres_Fibrobacteria_Fibrobacterales_Fibrobacteraceae_Fibrobacter_BLAST,097035414,Fibrobacteres,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,Fibrobacter,BLAST,NA,Fibrobacteres,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fibrobacteres
073053649_Unknown_Unknown_Unknown_Unknown_unclassified_BLAST,073053649,Unknown,Unknown,Unknown,Unknown,unclassified,BLAST,NA,unclassified,WP_073053649.1 MULTISPECIES: TIGR04133 family radical SAM/SPASM protein [unclassified Fibrobacter],WP_073053649.1,MULTISPECIES:,TIGR04133,family,radical,SAM/SPASM,protein,[unclassified Fibrobacter],NA
072978270_Fibrobacteres_Fibrobacteria_Fibrobacterales_Fibrobacteraceae_Fibrobacter_BLAST,072978270,Fibrobacteres,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,Fibrobacter,BLAST,NA,Fibrobacteres,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fibrobacteres
163442238_Fibrobacteres_Fibrobacteria_Fibrobacterales_Fibrobacteraceae_Fibrobacter_BLAST,163442238,Fibrobacteres,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,Fibrobacter,BLAST,NA,Fibrobacteres,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fibrobacteres
173318479_Fibrobacteres_Fibrobacteria_Fibrobacterales_Fibrobacteraceae_Fibrobacter_BLAST,173318479,Fibrobacteres,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,Fibrobacter,BLAST,NA,Fibrobacteres,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fibrobacteres
173340082_Fibrobacteres_Fibrobacteria_Fibrobacterales_Fibrobacteraceae_Fibrobacter_BLAST,173340082,Fibrobacteres,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,Fibrobacter,BLAST,NA,Fibrobacteres,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fibrobacteres
173348222_Fibrobacteres_Fibrobacteria_Fibrobacterales_Fibrobacteraceae_Fibrobacter_BLAST,173348222,Fibrobacteres,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,Fibrobacter,BLAST,NA,Fibrobacteres,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fibrobacteres
072812027_Fibrobacteres_Fibrobacteria_Fibrobacterales_Fibrobacteraceae_Fibrobacter_BLAST,072812027,Fibrobacteres,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,Fibrobacter,BLAST,NA,Fibrobacteres,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fibrobacteres
073113826_Fibrobacteres_Fibrobacteria_Fibrobacterales_Fibrobacteraceae_Fibrobacter_BLAST,073113826,Fibrobacteres,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,Fibrobacter,BLAST,NA,Fibrobacteres,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fibrobacteres
173340903_Fibrobacteres_Fibrobacteria_Fibrobacterales_Fibrobacteraceae_Fibrobacter_BLAST,173340903,Fibrobacteres,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,Fibrobacter,BLAST,NA,Fibrobacteres,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fibrobacteres
088636708_Fibrobacteres_Fibrobacteria_Fibrobacterales_Fibrobacteraceae_Fibrobacter_BLAST,088636708,Fibrobacteres,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,Fibrobacter,BLAST,NA,Fibrobacteres,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fibrobacteres
173469656_Fibrobacteres_Fibrobacteria_Fibrobacterales_Fibrobacteraceae_Fibrobacter_BLAST,173469656,Fibrobacteres,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,Fibrobacter,BLAST,NA,Fibrobacteres,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fibrobacteres
072828266_Fibrobacteres_Fibrobacteria_Fibrobacterales_Fibrobacteraceae_Fibrobacter_BLAST,072828266,Fibrobacteres,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,Fibrobacter,BLAST,NA,Fibrobacteres,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fibrobacteres
074208141_Fibrobacteres_Fibrobacteria_Fibrobacterales_Fibrobacteraceae_Fibrobacter_BLAST,074208141,Fibrobacteres,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,Fibrobacter,BLAST,NA,Fibrobacteres,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fibrobacteres
173389718_Fibrobacteres_Fibrobacteria_Fibrobacterales_Fibrobacteraceae_Fibrobacter_BLAST,173389718,Fibrobacteres,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,Fibrobacter,BLAST,NA,Fibrobacteres,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fibrobacteres
173475229_Fibrobacteres_Fibrobacteria_Fibrobacterales_Fibrobacteraceae_Fibrobacter_BLAST,173475229,Fibrobacteres,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,Fibrobacter,BLAST,NA,Fibrobacteres,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fibrobacteres
173356546_Fibrobacteres_Fibrobacteria_Fibrobacterales_Fibrobacteraceae_Fibrobacter_BLAST,173356546,Fibrobacteres,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,Fibrobacter,BLAST,NA,Fibrobacteres,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fibrobacteres
088641179_Fibrobacteres_Fibrobacteria_Fibrobacterales_Fibrobacteraceae_Fibrobacter_BLAST,088641179,Fibrobacteres,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,Fibrobacter,BLAST,NA,Fibrobacteres,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fibrobacteres
173354004_Fibrobacteres_Fibrobacteria_Fibrobacterales_Fibrobacteraceae_Fibrobacter_BLAST,173354004,Fibrobacteres,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,Fibrobacter,BLAST,NA,Fibrobacteres,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fibrobacteres
173468542_Fibrobacteres_Fibrobacteria_Fibrobacterales_Fibrobacteraceae_Fibrobacter_BLAST,173468542,Fibrobacteres,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,Fibrobacter,BLAST,NA,Fibrobacteres,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fibrobacteres
173830902_Fibrobacteres_Fibrobacteria_Fibrobacterales_Fibrobacteraceae_Fibrobacter_BLAST,173830902,Fibrobacteres,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,Fibrobacter,BLAST,NA,Fibrobacteres,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fibrobacteres
173466554_Fibrobacteres_Fibrobacteria_Fibrobacterales_Fibrobacteraceae_Fibrobacter_BLAST,173466554,Fibrobacteres,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,Fibrobacter,BLAST,NA,Fibrobacteres,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fibrobacteres
173565315_Fibrobacteres_Fibrobacteria_Fibrobacterales_Fibrobacteraceae_Fibrobacter_BLAST,173565315,Fibrobacteres,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,Fibrobacter,BLAST,NA,Fibrobacteres,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fibrobacteres
073424538_Fibrobacteres_Fibrobacteria_Fibrobacterales_Fibrobacteraceae_Fibrobacter_BLAST,073424538,Fibrobacteres,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,Fibrobacter,BLAST,NA,Fibrobacteres,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fibrobacteres
097019876_Fibrobacteres_Fibrobacteria_Fibrobacterales_Fibrobacteraceae_Fibrobacter_BLAST,097019876,Fibrobacteres,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,Fibrobacter,BLAST,NA,Fibrobacteres,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fibrobacteres
012820061_Fibrobacteres_Fibrobacteria_Fibrobacterales_Fibrobacteraceae_Fibrobacter_BLAST,012820061,Fibrobacteres,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,Fibrobacter,BLAST,NA,Fibrobacteres,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fibrobacteres
088659821_Fibrobacteres_Fibrobacteria_Fibrobacterales_Fibrobacteraceae_Fibrobacter_BLAST,088659821,Fibrobacteres,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,Fibrobacter,BLAST,NA,Fibrobacteres,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fibrobacteres
088630212_Fibrobacteres_Fibrobacteria_Fibrobacterales_Fibrobacteraceae_Fibrobacter_BLAST,088630212,Fibrobacteres,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,Fibrobacter,BLAST,NA,Fibrobacteres,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fibrobacteres
085490095_Fibrobacteres_Fibrobacteria_Fibrobacterales_Fibrobacteraceae_Fibrobacter_BLAST,085490095,Fibrobacteres,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,Fibrobacter,BLAST,NA,Fibrobacteres,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fibrobacteres
173351527_Fibrobacteres_Fibrobacteria_Fibrobacterales_Fibrobacteraceae_Fibrobacter_BLAST,173351527,Fibrobacteres,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,Fibrobacter,BLAST,NA,Fibrobacteres,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fibrobacteres
173654450_Fibrobacteres_Fibrobacteria_Fibrobacterales_Fibrobacteraceae_Fibrobacter_BLAST,173654450,Fibrobacteres,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,Fibrobacter,BLAST,NA,Fibrobacteres,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fibrobacteres
072798614_Fibrobacteres_Fibrobacteria_Fibrobacterales_Fibrobacteraceae_Fibrobacter_BLAST,072798614,Fibrobacteres,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,Fibrobacter,BLAST,NA,Fibrobacteres,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fibrobacteres
088627565_Fibrobacteres_Fibrobacteria_Fibrobacterales_Fibrobacteraceae_Fibrobacter_BLAST,088627565,Fibrobacteres,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,Fibrobacter,BLAST,NA,Fibrobacteres,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fibrobacteres
173355476_Fibrobacteres_Fibrobacteria_Fibrobacterales_Fibrobacteraceae_Fibrobacter_BLAST,173355476,Fibrobacteres,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,Fibrobacter,BLAST,NA,Fibrobacteres,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fibrobacteres
173800539_Fibrobacteres_Fibrobacteria_Fibrobacterales_Fibrobacteraceae_Fibrobacter_BLAST,173800539,Fibrobacteres,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,Fibrobacter,BLAST,NA,Fibrobacteres,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fibrobacteres
073424073_Fibrobacteres_Fibrobacteria_Fibrobacterales_Fibrobacteraceae_Fibrobacter_BLAST,073424073,Fibrobacteres,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,Fibrobacter,BLAST,NA,Fibrobacteres,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fibrobacteres
085490492_Fibrobacteres_Fibrobacteria_Fibrobacterales_Fibrobacteraceae_Fibrobacter_BLAST,085490492,Fibrobacteres,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,Fibrobacter,BLAST,NA,Fibrobacteres,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fibrobacteres
173355155_Fibrobacteres_Fibrobacteria_Fibrobacterales_Fibrobacteraceae_Fibrobacter_BLAST,173355155,Fibrobacteres,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,Fibrobacter,BLAST,NA,Fibrobacteres,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fibrobacteres
173465946_Fibrobacteres_Fibrobacteria_Fibrobacterales_Fibrobacteraceae_Fibrobacter_BLAST,173465946,Fibrobacteres,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,Fibrobacter,BLAST,NA,Fibrobacteres,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fibrobacteres
173831436_Fibrobacteres_Fibrobacteria_Fibrobacterales_Fibrobacteraceae_Fibrobacter_BLAST,173831436,Fibrobacteres,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,Fibrobacter,BLAST,NA,Fibrobacteres,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fibrobacteres
088639629_Fibrobacteres_Fibrobacteria_Fibrobacterales_Fibrobacteraceae_Fibrobacter_BLAST,088639629,Fibrobacteres,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,Fibrobacter,BLAST,NA,Fibrobacteres,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fibrobacteres
173378456_Fibrobacteres_Fibrobacteria_Fibrobacterales_Fibrobacteraceae_Fibrobacter_BLAST,173378456,Fibrobacteres,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,Fibrobacter,BLAST,NA,Fibrobacteres,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fibrobacteres
173384896_Fibrobacteres_Fibrobacteria_Fibrobacterales_Fibrobacteraceae_Fibrobacter_BLAST,173384896,Fibrobacteres,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,Fibrobacter,BLAST,NA,Fibrobacteres,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fibrobacteres
088637626_Fibrobacteres_Fibrobacteria_Fibrobacterales_Fibrobacteraceae_Fibrobacter_BLAST,088637626,Fibrobacteres,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,Fibrobacter,BLAST,NA,Fibrobacteres,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fibrobacteres
173823985_Fibrobacteres_Fibrobacteria_Fibrobacterales_Fibrobacteraceae_Fibrobacter_BLAST,173823985,Fibrobacteres,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,Fibrobacter,BLAST,NA,Fibrobacteres,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fibrobacteres
