"","dendcut10"
"WP_060710387_Actinobacteria_Actinobacteria_Pseudonocardiales_Pseudonocardiaceae_Pseudonocardia_PFAM",4
"WP_060574732_Actinobacteria_Actinobacteria_Pseudonocardiales_Pseudonocardiaceae_Pseudonocardia_PFAM",4
"WP_050670290_Actinobacteria_Actinobacteria_Micrococcales_Dermacoccaceae_Luteipulveratus_PFAM",4
"WP_009947185_Actinobacteria_Actinobacteria_Pseudonocardiales_Pseudonocardiaceae_Saccharopolyspora_PFAM",4
"WP_020460755_Actinobacteria_Actinobacteria_Frankiales_Frankiaceae_Frankia_PFAM",4
"WP_006895668_Actinobacteria_Actinobacteria_Corynebacteriales_Gordoniaceae_Gordonia_PFAM",4
"WP_062393786_Actinobacteria_Actinobacteria_Corynebacteriales_Gordoniaceae_Gordonia_PFAM",4
"WP_007320474_Actinobacteria_Actinobacteria_Corynebacteriales_Gordoniaceae_Gordonia_PFAM",4
"WP_007318878_Actinobacteria_Actinobacteria_Corynebacteriales_Gordoniaceae_Gordonia_PFAM",4
"WP_008376049_Actinobacteria_Actinobacteria_Corynebacteriales_Gordoniaceae_Gordonia_PFAM",4
"WP_005193568_Actinobacteria_Actinobacteria_Corynebacteriales_Gordoniaceae_Gordonia_PFAM",4
"WP_020790278_Actinobacteria_Actinobacteria_Corynebacteriales_Gordoniaceae_Gordonia_PFAM",4
"WP_006367873_Actinobacteria_Actinobacteria_Corynebacteriales_Gordoniaceae_Gordonia_PFAM",4
"WP_005170141_Actinobacteria_Actinobacteria_Corynebacteriales_Gordoniaceae_Gordonia_PFAM",4
"WP_007619277_Actinobacteria_Actinobacteria_Corynebacteriales_Gordoniaceae_Gordonia_PFAM",4
"WP_012835461_Actinobacteria_Actinobacteria_Corynebacteriales_Gordoniaceae_Gordonia_PFAM",4
"WP_006899348_Actinobacteria_Actinobacteria_Corynebacteriales_Gordoniaceae_Gordonia_PFAM",4
"WP_010842289_Actinobacteria_Actinobacteria_Corynebacteriales_Gordoniaceae_Gordonia_PFAM",4
"WP_005936802_Actinobacteria_Actinobacteria_Corynebacteriales_Gordoniaceae_Gordonia_PFAM",4
"WP_019291268_Actinobacteria_Actinobacteria_Corynebacteriales_Nocardiaceae_Rhodococcus_PFAM",4
"WP_072704573_Actinobacteria_Actinobacteria_Corynebacteriales_Nocardiaceae_Rhodococcus_PFAM",4
"WP_011558418_Actinobacteria_Actinobacteria_Corynebacteriales_Mycobacteriaceae_Mycobacterium_PFAM",4
"WP_014209159_Actinobacteria_Actinobacteria_Corynebacteriales_Mycobacteriaceae_Mycolicibacterium_PFAM",4
"ABL03418_Actinobacteria_Actinobacteria_Corynebacteriales_Mycobacteriaceae_Mycobacterium_MtfC",4
"WP_047329088_Actinobacteria_Actinobacteria_Corynebacteriales_Mycobacteriaceae_Mycobacterium_PFAM",4
"WP_003923363_Actinobacteria_Actinobacteria_Corynebacteriales_Mycobacteriaceae_Mycobacterium_PFAM",4
"WP_014814232_Actinobacteria_Actinobacteria_Corynebacteriales_Mycobacteriaceae_Mycolicibacterium_PFAM",4
"WP_048419643_Actinobacteria_Actinobacteria_Corynebacteriales_Mycobacteriaceae_Mycolicibacterium_PFAM",4
"WP_067954150_Actinobacteria_Actinobacteria_Corynebacteriales_Mycobacteriaceae_Mycobacterium_PFAM",4
"WP_019514034_Actinobacteria_Terrabacteria_group_NA_NA_Actinobacteria_PFAM",4
"WP_056557298_Actinobacteria_Actinobacteria_Corynebacteriales_Mycobacteriaceae_Mycobacterium_PFAM",4
"WP_070352545_Actinobacteria_Actinobacteria_Corynebacteriales_Mycobacteriaceae_Mycobacterium_PFAM",4
"WP_036401579_Actinobacteria_Actinobacteria_Corynebacteriales_Mycobacteriaceae_Mycolicibacterium_PFAM",4
"WP_015759609_Firmicutes_Clostridia_Clostridiales_Peptococcaceae_Desulfofarcimen_PFAM",4
"WP_040096879_Proteobacteria_Deltaproteobacteria_Desulfuromonadales_Geobacteraceae_Geoalkalibacter_PFAM",4
"WP_011940373_Proteobacteria_Deltaproteobacteria_Desulfuromonadales_Geobacteraceae_Geobacter_PFAM",4
"WP_041974112_Proteobacteria_Deltaproteobacteria_Desulfuromonadales_Geobacteraceae_Geobacter_PFAM",4
"WP_039741526_Proteobacteria_Deltaproteobacteria_Desulfuromonadales_Geobacteraceae_Geobacter_PFAM",4
"WP_012901134_Unknown_Unknown_Unknown_Unknown_Methanocella_BLAST",4
"WP_066994323_Actinobacteria_Actinobacteria_Streptomycetales_Streptomycetaceae_Streptomyces_PFAM",4
"WP_009339690_Actinobacteria_Actinobacteria_Streptomycetales_Streptomycetaceae_Streptomyces_PFAM",4
"WP_147321899_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Ruminococcus_BLAST",4
"WP_077115640_Actinobacteria_Actinobacteria_Corynebacteriales_Nocardiaceae_Nocardia_PFAM",4
"WP_040199823_Proteobacteria_Deltaproteobacteria_Desulfuromonadales_Geobacteraceae_Geoalkalibacter_PFAM",4
"WP_066727389_Proteobacteria_Deltaproteobacteria_Desulfuromonadales_Desulfuromonadaceae_Desulfuromonas_PFAM",4
"WP_040100595_Proteobacteria_Deltaproteobacteria_Desulfuromonadales_Geobacteraceae_Geoalkalibacter_PFAM",4
"WP_011938664_Proteobacteria_Deltaproteobacteria_Desulfuromonadales_Geobacteraceae_Geobacter_PFAM",4
"WP_012648423_Proteobacteria_Deltaproteobacteria_Desulfuromonadales_Geobacteraceae_Geobacter_PFAM",4
"WP_010943534_Proteobacteria_Deltaproteobacteria_Desulfuromonadales_Geobacteraceae_Geobacter_PFAM",4
"WP_004512263_Proteobacteria_Deltaproteobacteria_Desulfuromonadales_Geobacteraceae_Geobacter_PFAM",4
"WP_041973730_Proteobacteria_Deltaproteobacteria_Desulfuromonadales_Geobacteraceae_Geobacter_PFAM",4
"WP_028992195_Firmicutes_Clostridia_Thermoanaerobacterales_Thermoanaerobacteraceae_Thermoanaerobacter_BLAST",4
"WP_054644816_Firmicutes_Clostridia_Thermoanaerobacterales_Thermoanaerobacteraceae_Thermoanaerobacter_BLAST",4
"OPY44208_Unknown_Unknown_Unknown_Unknown_Methanosaeta_BLAST",4
"OEU49908_Unknown_Unknown_Unknown_Unknown_Desulfuromonadales_BLAST",4
"KAF5433295_Unknown_Unknown_Unknown_Unknown_Methanophagales_BLAST",4
"TRZ54608_Unknown_Unknown_Unknown_Unknown_archaeon_BLAST",4
"KYK35483_Unknown_Unknown_Unknown_Unknown_Theionarchaea_BLAST",4
"WP_072725963_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Tepidibacter_PFAM",4
"WP_023846477_Euryarchaeota_Methanomicrobia_Methanosarcinales_Methanosarcinaceae_Methanolobus_PFAM",5
"KPJ51886_Unknown_Unknown_Unknown_Unknown_Dehalococcoidia_BLAST",5
"WP_052883983_Crenarchaeota_TACK_group_Thermoproteales_NA_Thermofilum_PFAM",5
"WP_011417382_Proteobacteria_Deltaproteobacteria_Syntrophobacterales_Syntrophaceae_Syntrophus_PFAM",5
"WP_013718977_Euryarchaeota_Euryarchaeota_Methanosarcinales_NA_Methanothrix_PFAM",5
"WP_009071934_Crenarchaeota_Thermoprotei_Sulfolobales_Sulfolobaceae_Metallosphaera_PFAM",5
"WP_013738185_Unknown_Unknown_Unknown_Unknown_Metallosphaera_BLAST",5
"WP_012020475_Crenarchaeota_Thermoprotei_Sulfolobales_Sulfolobaceae_Metallosphaera_PFAM",5
"EWG06859_Unknown_Unknown_Unknown_Unknown_Candidatus_BLAST",5
"WP_110271144_Unknown_Unknown_Unknown_Unknown_Acidianus_BLAST",5
"TRM87628_Unknown_Unknown_Unknown_Unknown_Sulfolobus_BLAST",5
"WP_012940123_Euryarchaeota_Archaeoglobaceae_Euryarchaeota_NA_Archaeoglobus_PFAM",5
"WP_013458075_Deinococcus_Thermus_Deinococci_Thermales_Thermaceae_Oceanithermus_PFAM",5
"WP_048099026_Crenarchaeota_Thermoprotei_Sulfolobales_Sulfolobaceae_Acidianus_PFAM",5
"WP_014026122_Crenarchaeota_Thermoprotei_Desulfurococcales_Pyrodictiaceae_Pyrolobus_PFAM",5
"WP_015231745_Crenarchaeota_Thermoprotei_Acidilobales_Caldisphaeraceae_Caldisphaera_PFAM",5
"WP_075050057_Crenarchaeota_Thermoprotei_Thermoprotei_NA_Ignicoccus_PFAM",5
"WP_011177815_Euryarchaeota_Thermoplasmata_Thermoplasmatales_Picrophilaceae_Picrophilus_PFAM",5
"WP_009887746_Euryarchaeota_Thermoplasmata_Thermoplasmatales_Ferroplasmaceae_Ferroplasma_PFAM",5
"WP_015592767_Firmicutes_Bacilli_Bacillales_Bacillaceae_Bacillus_PFAM",5
"WP_166240337_Firmicutes_Bacilli_Bacillales_Paenibacillaceae_Paenibacillus_BLAST",5
"WP_068657250_Firmicutes_Bacilli_Bacillales_Paenibacillaceae_Paenibacillus_PFAM",5
"RME61841_Unknown_Unknown_Unknown_Unknown_Caldilineae_BLAST",5
"RMG94180_Unknown_Unknown_Unknown_Unknown_Chloroflexi_BLAST",5
"OGX05378_Unknown_Unknown_Unknown_Unknown_Omnitrophica_BLAST",5
"WP_146660170_Unknown_Unknown_Unknown_Unknown_Anaerohalosphaera_BLAST",5
"OGS04684_Unknown_Unknown_Unknown_Unknown_Elusimicrobia_BLAST",5
"OIP05763_Unknown_Unknown_Unknown_Unknown_Armatimonadetes_BLAST",5
"WP_070067658_Planctomycetes_Candidatus_Brocadiales_Candidatus_Brocadiae_NA_Brocadia_PFAM",5
"ODS32160_Unknown_Unknown_Unknown_Unknown_Candidatus_BLAST",5
"OHB50026_Unknown_Unknown_Unknown_Unknown_Planctomycetes_BLAST",5
"OHB86211_Unknown_Unknown_Unknown_Unknown_Planctomycetes_BLAST",5
"GAX62469_Unknown_Unknown_Unknown_Unknown_Candidatus_BLAST",5
"WP_096895947_Unknown_Unknown_Unknown_Unknown_Candidatus_BLAST",5
"KAA3596515_Unknown_Unknown_Unknown_Unknown_Candidatus_BLAST",5
"OQA12644_Unknown_Unknown_Unknown_Unknown_bacterium_BLAST",5
"RKY64939_Unknown_Unknown_Unknown_Unknown_Candidatus_BLAST",5
"RKY67389_Unknown_Unknown_Unknown_Unknown_Candidatus_BLAST",5
"RZD17448_Unknown_Unknown_Unknown_Unknown_Candidatus_BLAST",5
"WP_169728843_Firmicutes_Bacilli_Bacillales_Paenibacillaceae_Aneurinibacillus_BLAST",5
"WP_069644077_Firmicutes_Bacilli_Bacillales_No_family_Desulfuribacillus_BLAST",5
"WP_069702934_Firmicutes_Bacilli_Bacillales_No_family_Desulfuribacillus_BLAST",5
"WP_096183107_Firmicutes_Bacilli_Bacillales_Alicyclobacillaceae_Effusibacillus_BLAST",5
"WP_070120610_Firmicutes_Bacilli_Bacillales_Bacillaceae_Bacillus_BLAST",5
"WP_069656852_Firmicutes_Bacilli_Bacillales_Bacillaceae_Vulcanibacillus_BLAST",5
"WP_068724720_Firmicutes_Bacilli_Bacillales_Bacillaceae_Tepidibacillus_BLAST",5
"WP_069798183_Firmicutes_Bacilli_Bacillales_Bacillaceae_Tepidibacillus_BLAST",5
"OGB88540_Unknown_Unknown_Unknown_Unknown_candidate_BLAST",5
"TEU13567_Unknown_Unknown_Unknown_Unknown_Anaerolineales_BLAST",5
"ADJ25766_Chloroflexi_Dehalococcoidia_No_order_No_family_Dehalogenimonas_BLAST",5
"WP_041220348_Chloroflexi_Dehalococcoidia_No_order_No_family_Dehalogenimonas_BLAST",5
"WP_076004352_Chloroflexi_Dehalococcoidia_No_order_No_family_Dehalogenimonas_PFAM",5
"OGN91414_Unknown_Unknown_Unknown_Unknown_Chloroflexi_BLAST",5
"RLC91756_Unknown_Unknown_Unknown_Unknown_Chloroflexi_BLAST",5
"KUJ95052_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfohalobiaceae_Desulfonauticus_BLAST",5
"WP_092066094_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfohalobiaceae_Desulfonauticus_BLAST",5
"WP_008870455_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfohalobiaceae_Desulfonatronospira_PFAM",5
"WP_035243875_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfohalobiaceae_Desulfonatronovibrio_BLAST",5
"WP_045215173_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfohalobiaceae_Desulfonatronovibrio_BLAST",5
"RQD63116_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfohalobiaceae_Desulfonatronovibrio_BLAST",5
"PIE68395_Unknown_Unknown_Unknown_Unknown_Deltaproteobacteria_BLAST",5
"WP_092119556_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfonatronaceae_Desulfonatronum_BLAST",5
"WP_045221109_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfonatronaceae_Desulfonatronum_BLAST",5
"TVR00508_Unknown_Unknown_Unknown_Unknown_Desulfovibrionales_BLAST",5
"WP_152555192_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfonatronaceae_Desulfonatronum_BLAST",5
"WP_107735730_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfonatronaceae_Desulfonatronum_BLAST",5
"WP_084031891_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfonatronaceae_Desulfonatronum_BLAST",5
"WP_014260652_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfovibrionaceae_Desulfocurvibacter_BLAST",5
"WP_005983031_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfovibrionaceae_Desulfocurvibacter_BLAST",5
"WP_027369035_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfovibrionaceae_Desulfocurvibacter_BLAST",5
"WP_027369961_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfohalobiaceae_Desulfovermiculus_BLAST",5
"WP_015752382_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfohalobiaceae_Desulfohalobium_PFAM",5
"WP_035104206_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfovibrionaceae_Desulfohalovibrio_BLAST",5
"WP_027175987_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfovibrionaceae_Desulfovibrio_BLAST",5
"OGR34868_Unknown_Unknown_Unknown_Unknown_Desulfovibrionales_BLAST",5
"PKN09732_Unknown_Unknown_Unknown_Unknown_Deltaproteobacteria_BLAST",5
"WP_089273032_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfovibrionaceae_Desulfovibrio_BLAST",5
"OIO02653_Unknown_Unknown_Unknown_Unknown_Desulfovibrionaceae_BLAST",5
"WP_027179230_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfovibrionaceae_Desulfovibrio_BLAST",5
"WP_031479603_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfovibrionaceae_Desulfovibrio_BLAST",5
"OEU65893_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfovibrionaceae_Desulfovibrio_BLAST",5
"WP_092159526_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfovibrionaceae_Desulfovibrio_BLAST",5
"WP_085100994_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfovibrionaceae_Desulfovibrio_BLAST",5
"WP_015337799_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfovibrionaceae_Desulfovibrio_BLAST",5
"WP_027721405_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfovibrionaceae_Desulfovibrio_BLAST",5
"WP_136675108_Bacteroidetes_Bacteroidia_Marinilabiliales_Marinifilaceae_Marinifilum_BLAST",5
"WP_163296086_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfovibrionaceae_Desulfovibrio_BLAST",5
"WP_015851121_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfovibrionaceae_Desulfovibrio_BLAST",5
"WP_163352595_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfovibrionaceae_Desulfovibrio_BLAST",5
"WP_022660855_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfovibrionaceae_Desulfovibrio_BLAST",5
"WP_078716339_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfovibrionaceae_Desulfovibrio_BLAST",5
"WP_151150596_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfovibrionaceae_Desulfovibrio_BLAST",5
"WP_155931505_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfovibrionaceae_Pseudodesulfovibrio_BLAST",5
"WP_013515124_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfovibrionaceae_Pseudodesulfovibrio_PFAM",5
"WP_163808087_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfovibrionaceae_Pseudodesulfovibrio_BLAST",5
"WP_128326923_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfovibrionaceae_Pseudodesulfovibrio_BLAST",5
"OIQ51283_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfovibrionaceae_Pseudodesulfovibrio_BLAST",5
"WP_071546703_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfovibrionaceae_Pseudodesulfovibrio_BLAST",5
"WP_066805420_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfovibrionaceae_Pseudodesulfovibrio_BLAST",5
"EGB16658_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfovibrionaceae_Desulfovibrio_BLAST",5
"WP_041915846_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfovibrionaceae_Desulfovibrio_BLAST",5
"WP_158948451_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfovibrionaceae_Pseudodesulfovibrio_BLAST",5
"WP_168892026_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfovibrionaceae_Pseudodesulfovibrio_BLAST",5
"WP_097013592_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfovibrionaceae_Pseudodesulfovibrio_BLAST",5
"WP_015416619_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfovibrionaceae_Pseudodesulfovibrio_PFAM",5
"WP_018124848_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfovibrionaceae_Desulfovibrio_BLAST",5
"WP_020879422_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfovibrionaceae_Desulfovibrio_BLAST",5
"WP_020887898_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfovibrionaceae_Desulfohalovibrio_BLAST",5
"WP_028586383_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfovibrionaceae_Desulfocurvus_BLAST",5
"WP_078684373_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfovibrionaceae_Desulfovibrio_BLAST",5
"WP_167940648_Unknown_Unknown_Unknown_Unknown_Desulfobaculum_BLAST",5
"SBW09532_Unknown_Unknown_Unknown_Unknown_uncultured_BLAST",5
"WP_034636832_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfovibrionaceae_Desulfovibrio_BLAST",5
"WP_173084929_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfovibrionaceae_Desulfovibrio_BLAST",5
"WP_027192287_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfovibrionaceae_Desulfovibrio_BLAST",5
"KAF0235174_Unknown_Unknown_Unknown_Unknown_Desulfovibrionaceae_BLAST",5
"WP_009182065_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfovibrionaceae_Desulfovibrio_PFAM",5
"WP_163303721_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfovibrionaceae_Desulfovibrio_BLAST",5
"WP_176630024_Unknown_Unknown_Unknown_Unknown_Desulfolutivibrio_BLAST",5
"WP_176636981_Unknown_Unknown_Unknown_Unknown_Desulfolutivibrio_BLAST",5
"WP_084650659_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfovibrionaceae_Desulfovibrio_BLAST",5
"WP_156831662_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfovibrionaceae_Desulfovibrio_BLAST",5
"WP_006008768_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfovibrionaceae_Desulfovibrio_BLAST",5
"WP_168934664_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfovibrionaceae_Desulfovibrio_BLAST",5
"WP_165068498_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfovibrionaceae_Desulfovibrio_BLAST",5
"WP_165176507_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfovibrionaceae_Desulfovibrio_BLAST",5
"WP_154512781_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfovibrionaceae_Desulfovibrio_BLAST",5
"EFL87227_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfovibrionaceae_Desulfovibrio_BLAST",5
"WP_147568429_Unknown_Unknown_Unknown_Unknown_unclassified_BLAST",5
"WP_062253644_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfovibrionaceae_Desulfovibrio_BLAST",5
"RRD70649_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfovibrionaceae_Desulfovibrio_BLAST",5
"WP_185702318_Unknown_Unknown_Unknown_Unknown_unclassified_BLAST",5
"WP_180365408_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfovibrionaceae_Desulfovibrio_BLAST",5
"WP_165450932_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfovibrionaceae_Desulfovibrio_BLAST",5
"RHH22407_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfovibrionaceae_Desulfovibrio_BLAST",5
"TBH79135_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfovibrionaceae_Desulfovibrio_BLAST",5
"WP_183721198_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfovibrionaceae_Desulfovibrio_BLAST",5
"SCM73230_Unknown_Unknown_Unknown_Unknown_uncultured_BLAST",5
"WP_179981765_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfovibrionaceae_Desulfovibrio_BLAST",5
"OXS29388_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfovibrionaceae_Desulfovibrio_BLAST",5
"WP_136398780_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfovibrionaceae_Desulfovibrio_BLAST",5
"SBW05032_Unknown_Unknown_Unknown_Unknown_uncultured_BLAST",5
"WP_192112688_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfovibrionaceae_Desulfovibrio_BLAST",5
"WP_022659708_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfovibrionaceae_Desulfovibrio_BLAST",5
"WP_165079364_Unknown_Unknown_Unknown_Unknown_unclassified_BLAST",5
"WP_096400051_Unknown_Unknown_Unknown_Unknown_Candidatus_BLAST",5
"GFH62825_Unknown_Unknown_Unknown_Unknown_Candidatus_BLAST",5
"WP_087352587_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfovibrionaceae_Desulfovibrio_BLAST",5
"CAJ54262_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfovibrionaceae_Lawsonia_BLAST",5
"AGC49610_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfovibrionaceae_Lawsonia_BLAST",5
"WP_081475778_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfovibrionaceae_Lawsonia_BLAST",5
"KAA0205470_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfovibrionaceae_Lawsonia_BLAST",5
"WP_016360743_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfovibrionaceae_Bilophila_BLAST",5
"WP_148399713_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfovibrionaceae_Bilophila_BLAST",5
"WP_157134928_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfovibrionaceae_Bilophila_BLAST",5
"PWM71469_Unknown_Unknown_Unknown_Unknown_Desulfovibrionaceae_BLAST",5
"WP_077071677_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfovibrionaceae_Mailhella_BLAST",5
"PWL56384_Unknown_Unknown_Unknown_Unknown_Desulfovibrionaceae_BLAST",5
"AAS95335_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfovibrionaceae_Desulfovibrio_BLAST",5
"WP_164561655_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfovibrionaceae_Desulfovibrio_BLAST",5
"WP_011792674_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfovibrionaceae_Desulfovibrio_BLAST",5
"WP_181409387_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfovibrionaceae_Desulfovibrio_BLAST",5
"WP_014524281_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfovibrionaceae_Desulfovibrio_BLAST",5
"RXF76171_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfovibrionaceae_Desulfovibrio_BLAST",5
"WP_167124852_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfovibrionaceae_Desulfovibrio_BLAST",5
"WP_156925461_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfovibrionaceae_Desulfovibrio_BLAST",5
"WP_172596567_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfovibrionaceae_Desulfovibrio_BLAST",5
"EGY24347_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfovibrionaceae_Desulfovibrio_BLAST",5
