"","dendcut","dendcut10","dendcut11","dendcut12","dendcut13","dendcut14","dendcut15","dendcut16","dendcut17","dendcut18","dendcut19","dendcut20","dendcut21","dendcut22","dendcut23"
"WP_014744829_Proteobacteria_Alphaproteobacteria_Rhodospirillales_Rhodospirillaceae_Tistrella_PFAM",2,2,3,3,3,3,3,3,4,4,4,4,4,4,4
"WP_004273211_Proteobacteria_Alphaproteobacteria_Rhodospirillales_Rhodospirillaceae_Nitrospirillum_characterized",2,2,3,3,3,3,3,3,4,4,4,4,4,4,4
"WP_014249603_Proteobacteria_Alphaproteobacteria_Rhodospirillales_Rhodospirillaceae_Azospirillum_PFAM",2,2,3,3,3,3,3,3,4,4,4,4,4,4,4
"WP_035633578_Firmicutes_Clostridia_Lachnospiraceae_NA_Lachnospiraceae_PFAM",2,2,3,3,3,3,3,3,4,4,4,4,4,4,4
"WP_013282565_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Butyrivibrio_PFAM",2,2,3,3,3,3,3,3,4,4,4,4,4,4,4
"WP_071175149_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Butyrivibrio_PFAM",2,2,3,3,3,3,3,3,4,4,4,4,4,4,4
"WP_072301032_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Ruminococcus_PFAM",2,2,3,3,3,3,3,3,4,4,4,4,4,4,4
"WP_012798918_Actinobacteria_Coriobacteriia_Eggerthellales_Eggerthellaceae_Slackia_PFAM",2,2,3,3,3,3,3,3,4,4,4,4,4,4,4
"WP_027472010_Bacteroidetes_Bacteroidia_Marinilabiliales_Marinilabiliaceae_Saccharicrinis_PFAM",2,2,3,3,3,3,3,3,4,4,4,4,4,4,4
"WP_036900610_Bacteroidetes_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_PFAM",2,2,3,3,3,3,3,3,4,4,4,4,4,4,4
"WP_021312240_Bacteroidetes_Unknown_Unknown_Unknown_Bacteroidetes_PFAM",2,2,3,3,3,3,3,3,4,4,4,4,4,4,4
"WP_013610946_Bacteroidetes_Bacteroidia_Bacteroidales_Odoribacteraceae_Odoribacter_PFAM",2,2,3,3,3,3,3,3,4,4,4,4,4,4,4
"WP_011966844_Bacteroidetes_Bacteroidia_Bacteroidales_Tannerellaceae_Parabacteroides_PFAM",2,2,3,3,3,3,3,3,4,4,4,4,4,4,4
"WP_008156851_Bacteroidetes_Bacteroidia_Bacteroidales_Tannerellaceae_Parabacteroides_PFAM",2,2,3,3,3,3,3,3,4,4,4,4,4,4,4
"WP_024996041_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_PFAM",2,2,3,3,3,3,3,3,4,4,4,4,4,4,4
"WP_073402810_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_PFAM",2,2,3,3,3,3,3,3,4,4,4,4,4,4,4
"WP_012819956_Fibrobacteres_Fibrobacteria_Fibrobacterales_Fibrobacteraceae_Fibrobacter_PFAM",2,2,3,3,3,3,3,3,4,4,4,4,4,4,4
"WP_073229934_Fibrobacteres_Fibrobacteria_Fibrobacterales_Fibrobacteraceae_Fibrobacter_PFAM",2,2,3,3,3,3,3,3,4,4,4,4,4,4,4
"WP_076931655_Bacteroidetes_Bacteroidia_Bacteroidales_Dysgonamonadaceae_Proteiniphilum_PFAM",2,2,3,3,3,3,3,3,4,4,4,4,4,4,4
"WP_006842839_Bacteroidetes_Bacteroidia_Bacteroidales_Dysgonamonadaceae_Dysgonomonas_PFAM",2,2,3,3,3,3,3,3,4,4,4,4,4,4,4
"WP_073003650_Bacteroidetes_Bacteroidia_Marinilabiliales_Prolixibacteraceae_Mariniphaga_PFAM",2,2,3,3,3,3,3,3,4,4,4,4,4,4,4
"WP_036826681_Bacteroidetes_Bacteroidetes_Bacteroidales_NA_Porphyromonadaceae_PFAM",2,2,3,3,3,3,3,3,4,4,4,4,4,4,4
"WP_009216577_Bacteroidetes_Unknown_Unknown_Unknown_Bacteroidetes_PFAM",2,2,3,3,3,3,3,3,4,4,4,4,4,4,4
"WP_015761324_Actinobacteria_Coriobacteriia_Eggerthellales_Eggerthellaceae_Eggerthella_PFAM",2,3,4,4,4,4,4,4,5,5,5,5,5,5,5
"WP_069699663_Firmicutes_Bacilli_Lactobacillales_Enterococcaceae_Enterococcus_PFAM",2,3,4,4,4,4,4,4,5,5,5,5,5,5,5
"WP_031589839_Firmicutes_Erysipelotrichia_Erysipelotrichales_Erysipelotrichaceae_Kandleria_PFAM",2,3,4,4,4,4,4,4,5,5,5,5,5,5,5
"WP_021676005_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Peptostreptococcaceae_PFAM",2,3,4,4,4,4,4,4,5,5,5,5,5,5,5
"WP_038116364_Firmicutes_Negativicutes_Veillonellales_Veillonellaceae_Veillonella_PFAM",2,3,4,4,4,4,4,4,5,5,5,5,5,5,5
"WP_025877783_Bacteroidetes_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_PFAM",2,3,4,4,4,4,4,4,5,5,5,5,5,5,5
"WP_012387219_Spirochaetes_Spirochaetia_Leptospirales_Leptospiraceae_Leptospira_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_034553700_Proteobacteria_Epsilonproteobacteria_Campylobacterales_Helicobacteraceae_Helicobacter_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_023930318_Proteobacteria_Epsilonproteobacteria_Campylobacterales_Helicobacteraceae_Helicobacter_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_076022138_Proteobacteria_NA_NA_NA_Betaproteobacteria_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_046020756_Proteobacteria_Alphaproteobacteria_Rhodospirillales_Rhodospirillaceae_Magnetospira_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_024079545_Proteobacteria_Alphaproteobacteria_Rhodospirillales_Rhodospirillaceae_Magnetospirillum_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_073289532_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Anaerosporobacter_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_016295543_Firmicutes_Clostridia_Lachnospiraceae_NA_Lachnospiraceae_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_012612968_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfovibrionaceae_Desulfovibrio_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_011368995_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfovibrionaceae_Desulfovibrio_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_004058071_Firmicutes_Clostridia_Clostridiales_Eubacteriaceae_Eubacterium_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_015453523_Proteobacteria_Epsilonproteobacteria_Campylobacterales_Helicobacteraceae_Helicobacter_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_013279828_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Butyrivibrio_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_016219776_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Dorea_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_034553697_Proteobacteria_Epsilonproteobacteria_Campylobacterales_Helicobacteraceae_Helicobacter_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_039729011_Cyanobacteria_NA_NA_NA_Cyanobacteria_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_012546289_Nitrospirae_Nitrospira_Nitrospirales_Nitrospiraceae_Thermodesulfovibrio_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_020886130_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfovibrionaceae_Desulfohalovibrio_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_020881914_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfovibrionaceae_Desulfovibrio_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_075061387_Chloroflexi_Anaerolineae_Anaerolineales_Anaerolineaceae_Ornatilinea_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_073624276_Cyanobacteria_No_class_Nostocales_Rivulariaceae_Calothrix_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_034572539_Proteobacteria_Epsilonproteobacteria_Campylobacterales_Helicobacteraceae_Helicobacter_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_034552158_Proteobacteria_Epsilonproteobacteria_Campylobacterales_Helicobacteraceae_Helicobacter_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_039648964_Proteobacteria_Epsilonproteobacteria_Campylobacterales_Campylobacteraceae_Campylobacter_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_066187527_Proteobacteria_Epsilonproteobacteria_Campylobacterales_Campylobacteraceae_Arcobacter_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_013136060_Proteobacteria_Epsilonproteobacteria_Campylobacterales_Campylobacteraceae_Arcobacter_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_044417977_Proteobacteria_Epsilonproteobacteria_Campylobacterales_Campylobacteraceae_Arcobacter_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_076087615_Proteobacteria_Epsilonproteobacteria_Campylobacterales_Campylobacteraceae_Arcobacter_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_014547174_Fibrobacteres_Fibrobacteria_Fibrobacterales_Fibrobacteraceae_Fibrobacter_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_073053943_Fibrobacteres_Fibrobacteria_Fibrobacterales_Fibrobacteraceae_Fibrobacter_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_015773014_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfomicrobiaceae_Desulfomicrobium_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_061836345_Proteobacteria_Oligoflexia_Bdellovibrionales_Bdellovibrionaceae_Bdellovibrio_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_007276818_Lentisphaerae_Lentisphaeria_Lentisphaerales_Lentisphaeraceae_Lentisphaera_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_023348285_Firmicutes_NA_NA_NA_Firmicutes_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_066089650_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Anaerotignum_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_004623702_Firmicutes_Clostridia_Clostridiales_Hungateiclostridiaceae_Ruminiclostridium_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_012634576_Firmicutes_Clostridia_Clostridiales_Hungateiclostridiaceae_Ruminiclostridium_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_023387275_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Youngiibacter_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_027639967_Firmicutes_Clostridiales_Clostridia_Clostridiaceae_Clostridium_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_065254231_Firmicutes_Terrabacteria_group_Clostridiaceae_Clostridiaceae_Clostridium_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_008678202_Firmicutes_Clostridia_Terrabacteria_group_Clostridiaceae_Clostridium_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_058294785_Firmicutes_Clostridia_Terrabacteria_group_Clostridiaceae_Clostridium_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_003409194_Firmicutes_Clostridia_Terrabacteria_group_Clostridiaceae_Clostridium_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_069679216_Firmicutes_Clostridiaceae_Clostridiales_Clostridiaceae_Clostridium_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_044038387_Firmicutes_Terrabacteria_group_Clostridiaceae_Clostridiaceae_Clostridium_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_012199069_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Lachnoclostridium_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_013656655_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Cellulosilyticum_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_055275634_Firmicutes_Erysipelotrichia_Erysipelotrichales_Erysipelotrichaceae_Turicibacter_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_054874277_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Oxobacter_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_073337469_Firmicutes_Clostridiales_Clostridia_Clostridiaceae_Clostridium_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_072972830_Firmicutes_Tissierellia_Tissierellales_Tissierellaceae_Tissierella_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_074366039_Firmicutes_Clostridiaceae_Clostridiales_Clostridiaceae_Clostridium_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_021653661_Firmicutes_Clostridiales_Clostridia_NA_Clostridiales_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_015615306_Firmicutes_Clostridia_Terrabacteria_group_Clostridiaceae_Clostridium_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_003445440_Firmicutes_Clostridiales_Clostridia_Clostridiaceae_Clostridium_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_013387575_Fusobacteria_Fusobacteriia_Fusobacteriales_Fusobacteriaceae_Ilyobacter_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_021802019_Firmicutes_Clostridiales_Clostridia_Clostridiaceae_Clostridium_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_035379146_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Fervidicella_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_052222606_Firmicutes_Clostridia_Terrabacteria_group_Clostridiaceae_Clostridium_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_072986031_Firmicutes_Terrabacteria_group_Clostridiaceae_Clostridiaceae_Clostridium_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_010074701_Firmicutes_Clostridiales_Clostridia_Clostridiaceae_Clostridium_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_012158015_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Alkaliphilus_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_062322461_Firmicutes_Bacilli_Bacillales_Bacillaceae_Halolactibacillus_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_053376168_Firmicutes_Bacillales_NA_NA_Bacillales_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_056040849_Firmicutes_Bacilli_Bacillales_Paenibacillaceae_Paenibacillus_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_015844321_Firmicutes_Bacilli_Bacillales_Paenibacillaceae_Paenibacillus_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_052020129_Firmicutes_Bacilli_Bacillales_Paenibacillaceae_Paenibacillus_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_036710368_Firmicutes_Bacilli_Bacillales_Paenibacillaceae_Paenibacillus_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_071319188_Firmicutes_Bacilli_Bacillales_Bacillaceae_Anaerobacillus_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_071312550_Firmicutes_Bacilli_Bacillales_Bacillaceae_Anaerobacillus_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_008405643_Firmicutes_Bacilli_Bacillales_Planococcaceae_Solibacillus_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_003330648_Firmicutes_Bacilli_Bacillales_Bacillaceae_Bacillus_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_013370372_Firmicutes_Bacilli_Bacillales_Paenibacillaceae_Paenibacillus_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_006038504_Firmicutes_Bacilli_Bacillales_Paenibacillaceae_Paenibacillus_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_068694054_Firmicutes_Bacilli_Bacillales_Paenibacillaceae_Paenibacillus_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_038693540_Firmicutes_Bacilli_Bacillales_Paenibacillaceae_Paenibacillus_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_066377075_Firmicutes_Bacilli_Bacillales_Bacillaceae_Bacillus_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_042172990_Firmicutes_Bacilli_Bacillales_Paenibacillaceae_Paenibacillus_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_039834107_Firmicutes_Bacilli_Bacillales_Paenibacillaceae_Paenibacillus_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_062410768_Firmicutes_Bacilli_Bacillales_Paenibacillaceae_Paenibacillus_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_006677527_Firmicutes_Bacilli_Bacillales_Paenibacillaceae_Paenibacillus_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_003335577_Firmicutes_Bacilli_Bacillales_Paenibacillaceae_Brevibacillus_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_045673625_Firmicutes_Bacilli_Bacillales_Paenibacillaceae_Paenibacillus_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_036622556_Firmicutes_Bacilli_Bacillales_Paenibacillaceae_Paenibacillus_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_068608605_Firmicutes_Bacilli_Bacillales_Paenibacillaceae_Paenibacillus_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_072332782_Firmicutes_Bacilli_Bacillales_Paenibacillaceae_Paenibacillus_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_065853767_Firmicutes_Bacilli_Bacillales_Paenibacillaceae_Paenibacillus_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_028598758_Firmicutes_Bacilli_Bacillales_Paenibacillaceae_Paenibacillus_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_021877983_Firmicutes_Bacilli_Bacillales_Paenibacillaceae_Paenibacillus_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_074348385_Firmicutes_Clostridia_Clostridiales_No_family_Proteiniborus_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_066625272_Firmicutes_Clostridiales_Clostridia_Clostridiaceae_Clostridium_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_068680914_Firmicutes_Bacilli_Bacillales_Paenibacillaceae_Paenibacillus_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
