"","dendcut120"
"WP_011737155_Proteobacteria_Deltaproteobacteria_Desulfuromonadales_Desulfuromonadaceae_Pelobacter_PFAM",62
"WP_074649735_Firmicutes_Clostridiaceae_Clostridiales_NA_Clostridium_PFAM",61
"WP_016295561_Firmicutes_Clostridiales_Terrabacteria_group_NA_Lachnospiraceae_PFAM",61
"WP_013280509_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Butyrivibrio_PFAM",61
"WP_016216299_Firmicutes_Clostridia_Clostridiales_Eubacteriaceae_Eubacterium_PFAM",60
"WP_069956456_Proteobacteria_Alphaproteobacteria_Rhodospirillales_Rhodospirillaceae_Magnetovibrio_PFAM",59
"WP_075721649_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Roseburia_PFAM",58
"WP_014078392_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Roseburia_PFAM",58
"WP_016229262_Firmicutes_Clostridia_Lachnospiraceae_NA_Lachnospiraceae_PFAM",58
"WP_072935649_Firmicutes_Negativicutes_Selenomonadales_Selenomonadaceae_Schwartzia_PFAM",58
"WP_016218109_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Dorea_PFAM",58
"WP_020457856_Firmicutes_Clostridia_Clostridiales_Hungateiclostridiaceae_Hungateiclostridium_PFAM",58
"WP_006695391_Firmicutes_Negativicutes_Selenomonadales_Selenomonadaceae_Selenomonas_PFAM",58
"WP_069870399_Firmicutes_Clostridia_Clostridiales_Clostridiales_Family_XII__Incertae_Sedis_Fusibacter_PFAM",58
"WP_013623806_Firmicutes_Clostridia_Clostridiales_Peptococcaceae_Syntrophobotulus_PFAM",58
"WP_048569841_Firmicutes_Terrabacteria_group_Clostridiaceae_Clostridiaceae_Clostridium_PFAM",58
"WP_074649737_Firmicutes_Terrabacteria_group_Clostridiaceae_NA_Clostridium_PFAM",58
"WP_003513047_Firmicutes_Clostridia_Clostridiales_Hungateiclostridiaceae_Hungateiclostridium_PFAM",58
"WP_003518341_Firmicutes_Clostridia_Clostridiales_Hungateiclostridiaceae_Hungateiclostridium_PFAM",58
"WP_006695390_Firmicutes_Negativicutes_Selenomonadales_Selenomonadaceae_Selenomonas_PFAM",58
"WP_013623805_Firmicutes_Clostridia_Clostridiales_Peptococcaceae_Syntrophobotulus_PFAM",58
"WP_048569840_Firmicutes_Clostridiales_Clostridia_Clostridiaceae_Clostridium_PFAM",58
"WP_006695392_Firmicutes_Negativicutes_Selenomonadales_Selenomonadaceae_Selenomonas_PFAM",58
"WP_020457857_Firmicutes_Clostridia_Clostridiales_Hungateiclostridiaceae_Hungateiclostridium_PFAM",58
"WP_013623807_Firmicutes_Clostridia_Clostridiales_Peptococcaceae_Syntrophobotulus_PFAM",58
"WP_048569842_Firmicutes_Clostridiaceae_Clostridiales_Clostridiaceae_Clostridium_PFAM",58
"WP_015453523_Proteobacteria_Epsilonproteobacteria_Campylobacterales_Helicobacteraceae_Helicobacter_PFAM",57
"WP_076022138_Proteobacteria_NA_NA_NA_Betaproteobacteria_PFAM",56
"WP_046020756_Proteobacteria_Alphaproteobacteria_Rhodospirillales_Rhodospirillaceae_Magnetospira_PFAM",56
"WP_024079545_Proteobacteria_Alphaproteobacteria_Rhodospirillales_Rhodospirillaceae_Magnetospirillum_PFAM",56
"WP_073289532_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Anaerosporobacter_PFAM",55
"WP_016295543_Firmicutes_Clostridia_Lachnospiraceae_NA_Lachnospiraceae_PFAM",54
"WP_012612968_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfovibrionaceae_Desulfovibrio_PFAM",54
"WP_011368995_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfovibrionaceae_Desulfovibrio_PFAM",54
"WP_004058071_Firmicutes_Clostridia_Clostridiales_Eubacteriaceae_Eubacterium_PFAM",53
"WP_013279828_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Butyrivibrio_PFAM",53
"WP_016219776_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Dorea_PFAM",53
"WP_046020745_Proteobacteria_Alphaproteobacteria_Rhodospirillales_Rhodospirillaceae_Magnetospira_PFAM",52
"WP_041100899_Proteobacteria_Betaproteobacteria_Nitrosomonadales_Sterolibacteriaceae_Sulfuritalea_PFAM",51
"WP_003588387_Proteobacteria_Alphaproteobacteria_Rhizobiales_Rhizobiaceae_Rhizobium_PFAM",51
"WP_012532153_Proteobacteria_Deltaproteobacteria_Desulfuromonadales_Geobacteraceae_Geobacter_PFAM",51
"WP_015925779_Firmicutes_Clostridia_Clostridiales_Hungateiclostridiaceae_Ruminiclostridium_PFAM",50
"WP_011371833_Proteobacteria_Epsilonproteobacteria_Campylobacterales_Helicobacteraceae_Sulfurimonas_PFAM",49
"WP_068702913_Bacteroidetes_Flavobacteriia_Flavobacteriales_Flavobacteriaceae_Tenacibaculum_PFAM",48
"WP_021288448_Proteobacteria_Epsilonproteobacteria_Campylobacterales_Helicobacteraceae_Sulfurimonas_PFAM",87
"WP_011527306_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfovibrionaceae_Lawsonia_PFAM",86
"WP_052220210_Firmicutes_Clostridiales_Clostridia_Clostridiaceae_Clostridium_PFAM",85
"WP_016217858_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Dorea_PFAM",84
"WP_016228147_Firmicutes_Terrabacteria_group_Clostridiales_NA_Lachnospiraceae_PFAM",84
"WP_041971502_Proteobacteria_Deltaproteobacteria_Desulfuromonadales_Geobacteraceae_Geobacter_PFAM",83
"WP_013009800_Deferribacteres_Deferribacteres_Deferribacterales_Deferribacteraceae_Denitrovibrio_PFAM",82
"WP_054466162_Cyanobacteria_No_class_Oscillatoriales_Microcoleaceae_Planktothricoides_PFAM",81
"WP_069702324_Firmicutes_Bacilli_Bacillales_No_family_Desulfuribacillus_PFAM",80
"WP_036936611_Firmicutes_Clostridia_Clostridiales_Hungateiclostridiaceae_Pseudobacteroides_PFAM",79
"WP_019297185_Proteobacteria_Alphaproteobacteria_Rhodobacterales_Rhodobacteraceae_Leisingera_PFAM",78
"WP_015415362_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfovibrionaceae_Pseudodesulfovibrio_PFAM",77
"WP_027305679_Proteobacteria_Epsilonproteobacteria_Campylobacterales_Campylobacteraceae_Campylobacter_PFAM",76
"WP_063833573_Proteobacteria_Alphaproteobacteria_Rhodospirillales_Rhodospirillaceae_Skermanella_PFAM",75
"WP_014245635_Proteobacteria_Oligoflexia_Bacteriovoracales_Halobacteriovoraceae_Halobacteriovorax_PFAM",92
"WP_038639599_Proteobacteria_Gammaproteobacteria_Alteromonadales_Pseudoalteromonadaceae_Pseudoalteromonas_PFAM",91
"WP_034563074_Proteobacteria_Epsilonproteobacteria_Campylobacterales_Helicobacteraceae_Helicobacter_PFAM",90
"WP_023929302_Proteobacteria_Epsilonproteobacteria_Campylobacterales_Helicobacteraceae_Helicobacter_PFAM",90
"WP_034579356_Proteobacteria_Epsilonproteobacteria_Campylobacterales_Helicobacteraceae_Helicobacter_PFAM",90
"WP_002955996_Proteobacteria_Epsilonproteobacteria_Campylobacterales_Helicobacteraceae_Helicobacter_PFAM",90
"WP_011714949_Proteobacteria_Alphaproteobacteria_Magnetococcales_Magnetococcaceae_Magnetococcus_PFAM",89
"Q8G907_Firmicutes_Bacilli_Bacillales_Bacillaceae_Bacillus_BtrN",89
"WP_009676482_Firmicutes_Bacilli_Bacillales_Paenibacillaceae_Paenibacillus_PFAM",89
"WP_051462484_Proteobacteria_Gammaproteobacteria_Enterobacterales_Morganellaceae_Xenorhabdus_PFAM",89
"WP_025424493_Proteobacteria_Gammaproteobacteria_Enterobacterales_Pectobacteriaceae_Sodalis_PFAM",89
"WP_011147552_Proteobacteria_Gammaproteobacteria_Enterobacterales_Morganellaceae_Photorhabdus_PFAM",89
"WP_052561231_Planctomycetes_Candidatus_Brocadiaceae_Candidatus_Brocadiales_NA_Brocadia_PFAM",88
"WP_026655815_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Butyrivibrio_PFAM",88
"WP_074885984_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Butyrivibrio_PFAM",88
"WP_071175309_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Butyrivibrio_PFAM",88
"WP_009251177_Firmicutes_Clostridiales_Terrabacteria_group_NA_Lachnospiraceae_PFAM",88
"WP_021639047_Firmicutes_Terrabacteria_group_NA_NA_Clostridiales_PFAM",88
"WP_016229588_Firmicutes_Lachnospiraceae_Clostridia_NA_Lachnospiraceae_PFAM",88
"WP_035315862_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Kineothrix_PFAM",88
"WP_016291886_Firmicutes_Terrabacteria_group_Clostridiales_NA_Lachnospiraceae_PFAM",88
"WP_016279876_Firmicutes_Terrabacteria_group_Clostridiales_NA_Lachnospiraceae_PFAM",88
"WP_007939068_Firmicutes_Negativicutes_Selenomonadales_Sporomusaceae_Pelosinus_PFAM",88
"WP_007221878_Planctomycetes_PVC_group_Candidatus_Brocadiaceae_NA_Jettenia_PFAM",96
"WP_052565100_Planctomycetes_Candidatus_Brocadiaceae_Candidatus_Brocadiales_NA_Brocadia_PFAM",96
"WP_070068098_Planctomycetes_PVC_group_Candidatus_Brocadiaceae_NA_Brocadia_PFAM",96
"WP_071063677_Firmicutes_Tissierellia_Tissierellales_Gottschalkiaceae_Andreesenia_PFAM",95
"WP_068498029_Proteobacteria_Alphaproteobacteria_Rhodospirillales_Rhodospirillaceae_Magnetospirillum_PFAM",95
"WP_038287344_Firmicutes_Clostridia_Clostridiales_Hungateiclostridiaceae_Hungateiclostridium_PFAM",94
"WP_038287354_Firmicutes_Clostridia_Clostridiales_Hungateiclostridiaceae_Hungateiclostridium_PFAM",94
"WP_039134576_Bacteroidetes_Chitinophagia_Chitinophagales_Chitinophagaceae_Flavihumibacter_PFAM",93
"WP_039142540_Bacteroidetes_Chitinophagia_Chitinophagales_Chitinophagaceae_Flavihumibacter_PFAM",93
"WP_011340844_Proteobacteria_Deltaproteobacteria_Desulfuromonadales_Desulfuromonadaceae_Pelobacter_PFAM",101
"WP_071157766_Proteobacteria_Gammaproteobacteria_Methylococcales_Methylococcaceae_Methylomonas_PFAM",101
"WP_015423791_Candidatus_Cloacimonetes_NA_NA_NA_Cloacimonas_PFAM",100
"WP_015861128_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfovibrionaceae_Desulfovibrio_PFAM",99
"WP_015414648_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfovibrionaceae_Pseudodesulfovibrio_PFAM",99
"WP_041972095_Proteobacteria_Deltaproteobacteria_Desulfuromonadales_Geobacteraceae_Geobacter_PFAM",98
"WP_010940268_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfovibrionaceae_Desulfovibrio_PFAM",97
"WP_006964341_Proteobacteria_Deltaproteobacteria_Desulfobacterales_Desulfobacteraceae_Desulfotignum_PFAM",108
"WP_075061387_Chloroflexi_Anaerolineae_Anaerolineales_Anaerolineaceae_Ornatilinea_PFAM",108
"WP_073624276_Cyanobacteria_No_class_Nostocales_Rivulariaceae_Calothrix_PFAM",108
"WP_011688320_Acidobacteria_Solibacteraceae_Bryobacterales_NA_Solibacter_PFAM",107
"WP_049675720_Proteobacteria_Deltaproteobacteria_Desulfarculales_Desulfarculaceae_Desulfocarbo_PFAM",106
"WP_044352731_Proteobacteria_Deltaproteobacteria_Desulfarculales_Desulfarculaceae_Dethiosulfatarculus_PFAM",106
"WP_077058227_Actinobacteria_Actinobacteria_Streptomycetales_Streptomycetaceae_Streptomyces_PFAM",105
"WP_074239458_Bacteroidetes_Chitinophagia_Chitinophagales_Chitinophagaceae_Chitinophaga_PFAM",104
"WP_014201815_Bacteroidetes_Flavobacteriia_Flavobacteriales_Cryomorphaceae_Owenweeksia_PFAM",104
"WP_011736604_Proteobacteria_Deltaproteobacteria_Desulfuromonadales_Desulfuromonadaceae_Pelobacter_PFAM",103
"WP_015850941_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfovibrionaceae_Desulfovibrio_PFAM",103
"WP_020885480_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfovibrionaceae_Desulfohalovibrio_PFAM",103
"WP_010937492_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfovibrionaceae_Desulfovibrio_PFAM",103
"WP_010940262_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfovibrionaceae_Desulfovibrio_PFAM",102
"WP_072909017_Proteobacteria_Deltaproteobacteria_Desulfuromonadales_Desulfuromonadaceae_Malonomonas_PFAM",113
"WP_015956205_Cyanobacteria_No_class_Chroococcales_Aphanothecaceae_Gloeothece_PFAM",113
"WP_006928283_Calditrichaeota_Calditrichae_Calditrichales_Calditrichaceae_Caldithrix_PFAM",112
"WP_013446341_Bacteroidetes_Bacteroidia_Bacteroidales_Paludibacteraceae_Paludibacter_PFAM",112
"WP_052522148_Bacteroidetes_Bacteroidia_Marinilabiliales_Marinilabiliaceae_Saccharicrinis_PFAM",112
"WP_013685893_Bacteroidetes_Flavobacteriia_Flavobacteriales_Crocinitomicaceae_Fluviicola_PFAM",112
"WP_035074680_Bacteroidetes_Cytophagia_Cytophagales_Cytophagaceae_Anditalea_PFAM",112
"WP_008198120_Bacteroidetes_Cytophagia_Cytophagales_Cyclobacteriaceae_Algoriphagus_PFAM",112
"WP_014771569_Bacteroidetes_Cytophagia_Cytophagales_Cyclobacteriaceae_Belliella_PFAM",112
"WP_019596415_Bacteroidetes_Cytophagia_Cytophagales_Cytophagaceae_Rhodonellum_PFAM",112
"WP_009033132_Bacteroidetes_Cytophagia_Cytophagales_Cyclobacteriaceae_Indibacter_PFAM",112
"WP_009183591_Bacteroidetes_Cytophagia_Cytophagales_Cyclobacteriaceae_Cecembia_PFAM",112
"WP_045460721_Bacteroidetes_Cytophagia_Cytophagales_Cytophagaceae_Sporocytophaga_PFAM",112
"WP_055151160_Bacteroidetes_Cytophagia_Cytophagales_Cytophagaceae_Jiulongibacter_PFAM",112
"WP_009579248_Bacteroidetes_Cytophagia_Cytophagales_Flammeovirgaceae_Fulvivirga_PFAM",112
"WP_062591012_Bacteroidetes_Cytophagia_Cytophagales_Flammeovirgaceae_Roseivirga_PFAM",112
"WP_068216382_Bacteroidetes_Cytophagia_Cytophagales_Flammeovirgaceae_Roseivirga_PFAM",112
"WP_076421336_Bacteroidetes_Cytophagia_Cytophagales_Hymenobacteraceae_Pontibacter_PFAM",112
"WP_046314160_Bacteroidetes_Cytophagia_Cytophagales_Hymenobacteraceae_Pontibacter_PFAM",112
"WP_068837713_Bacteroidetes_Cytophagia_Cytophagales_Hymenobacteraceae_Pontibacter_PFAM",112
"WP_059071604_Bacteroidetes_Cytophagia_Cytophagales_No_family_Solirubrum_PFAM",112
"WP_073105574_Bacteroidetes_Cytophagia_Cytophagales_Hymenobacteraceae_Hymenobacter_PFAM",112
"WP_044015259_Bacteroidetes_Cytophagia_Cytophagales_Hymenobacteraceae_Hymenobacter_PFAM",112
"WP_044003823_Bacteroidetes_Cytophagia_Cytophagales_Hymenobacteraceae_Hymenobacter_PFAM",112
"WP_068190635_Bacteroidetes_Cytophagia_Cytophagales_Hymenobacteraceae_Hymenobacter_PFAM",112
"WP_068340027_Bacteroidetes_Cytophagia_Cytophagales_Hymenobacteraceae_Hymenobacter_PFAM",112
"WP_068237858_Bacteroidetes_Cytophagia_Cytophagales_Hymenobacteraceae_Hymenobacter_PFAM",112
"WP_044510746_Bacteroidetes_Cytophagia_Cytophagales_Hymenobacteraceae_Hymenobacter_PFAM",112
"WP_066512559_Bacteroidetes_Cytophagia_Cytophagales_Hymenobacteraceae_Rufibacter_PFAM",112
"WP_048922175_Bacteroidetes_Cytophagia_Cytophagales_Hymenobacteraceae_Rufibacter_PFAM",112
"WP_062543494_Bacteroidetes_Cytophagia_Cytophagales_Hymenobacteraceae_Rufibacter_PFAM",112
"WP_009193561_Bacteroidetes_Cytophagia_Cytophagales_Flammeovirgaceae_Cesiribacter_PFAM",112
"WP_004156522_Bacteroidetes_Cytophagia_Cytophagales_Microscillaceae_Microscilla_PFAM",112
"WP_014222380_Bacteroidetes_Chitinophagia_Chitinophagales_Chitinophagaceae_Niastella_PFAM",112
"WP_012788470_Bacteroidetes_Chitinophagia_Chitinophagales_Chitinophagaceae_Chitinophaga_PFAM",112
"WP_073082685_Bacteroidetes_Chitinophagia_Chitinophagales_Chitinophagaceae_Chitinophaga_PFAM",112
"WP_074241616_Bacteroidetes_Chitinophagia_Chitinophagales_Chitinophagaceae_Chitinophaga_PFAM",112
"WP_072366235_Bacteroidetes_Chitinophagia_Chitinophagales_Chitinophagaceae_Chitinophaga_PFAM",112
"WP_008588524_Bacteroidetes_Chitinophagia_Chitinophagales_Chitinophagaceae_Niabella_PFAM",112
"WP_067754921_Bacteroidetes_Chitinophagia_Chitinophagales_Chitinophagaceae_Niabella_PFAM",112
"WP_066206163_Bacteroidetes_Chitinophagia_Chitinophagales_Chitinophagaceae_Arachidicoccus_PFAM",112
"WP_076375817_Bacteroidetes_Chitinophagia_Chitinophagales_Chitinophagaceae_Filimonas_PFAM",112
"WP_073046651_Bacteroidetes_Chitinophagia_Chitinophagales_Chitinophagaceae_Cnuella_PFAM",112
"WP_066409830_Bacteroidetes_Chitinophagia_Chitinophagales_Chitinophagaceae_Flavisolibacter_PFAM",112
"WP_072834924_Bacteroidetes_Chitinophagia_Chitinophagales_Chitinophagaceae_Flavisolibacter_PFAM",112
"WP_039139525_Bacteroidetes_Chitinophagia_Chitinophagales_Chitinophagaceae_Flavihumibacter_PFAM",112
"WP_046368409_Bacteroidetes_Chitinophagia_Chitinophagales_Chitinophagaceae_Flavihumibacter_PFAM",112
"WP_039126132_Bacteroidetes_Chitinophagia_Chitinophagales_Chitinophagaceae_Flavihumibacter_PFAM",112
"WP_044216877_Bacteroidetes_Saprospiria_Saprospirales_Haliscomenobacteraceae_Phaeodactylibacter_PFAM",112
"WP_068214924_Bacteroidetes_Saprospiria_Saprospirales_Lewinellaceae_Lewinella_PFAM",112
"WP_013764654_Bacteroidetes_Saprospiria_Saprospirales_Haliscomenobacteraceae_Haliscomenobacter_PFAM",112
"WP_015693333_Bacteroidetes_Saprospiria_Saprospirales_Saprospiraceae_Saprospira_PFAM",112
"WP_071502357_Bacteroidetes_Cytophagia_Cytophagales_Cytophagaceae_Arsenicibacter_PFAM",112
"WP_015332670_Bacteroidetes_Cytophagia_Cytophagales_Cytophagaceae_Fibrella_PFAM",112
"WP_009284001_Bacteroidetes_Cytophagia_Cytophagales_Cytophagaceae_Fibrisoma_PFAM",112
"WP_077131822_Bacteroidetes_Cytophagia_Cytophagales_Cytophagaceae_Spirosoma_PFAM",112
"WP_046375885_Bacteroidetes_Cytophagia_Cytophagales_Cytophagaceae_Spirosoma_PFAM",112
"WP_056289883_Bacteroidetes_Cytophagia_Cytophagales_Cytophagaceae_Dyadobacter_PFAM",112
"WP_012779824_Bacteroidetes_Cytophagia_Cytophagales_Cytophagaceae_Dyadobacter_PFAM",112
"WP_013454314_Bacteroidetes_Cytophagia_Cytophagales_Flammeovirgaceae_Marivirga_PFAM",112
"WP_073141471_Bacteroidetes_Cytophagia_Cytophagales_No_family_Chryseolinea_PFAM",112
"WP_054041739_Unknown_Unknown_Unknown_Unknown_Bacteria_PFAM",112
"WP_013407298_Bacteroidetes_Cytophagia_Cytophagales_Cytophagaceae_Leadbetterella_PFAM",112
"WP_066208294_Bacteroidetes_Cytophagia_Cytophagales_Flammeovirgaceae_Flammeovirga_PFAM",112
"WP_017747370_Cyanobacteria_No_class_Nostocales_Scytonemataceae_Scytonema_PFAM",111
"WP_007220727_Planctomycetes_PVC_group_Candidatus_Brocadiaceae_NA_Jettenia_PFAM",111
"WP_027842473_Cyanobacteria_No_class_Nostocales_Hapalosiphonaceae_Mastigocoleus_PFAM",111
"WP_021758601_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfovibrionaceae_Desulfovibrio_PFAM",111
"WP_011697673_Proteobacteria_Deltaproteobacteria_Syntrophobacterales_Syntrophobacteraceae_Syntrophobacter_PFAM",111
"WP_021275841_Proteobacteria_Oligoflexia_Bacteriovoracales_Bacteriovoracaceae_Bacteriovorax_PFAM",110
"WP_068717929_Firmicutes_Clostridia_Halanaerobiales_Halobacteroidaceae_Orenia_PFAM",109
"WP_007911174_Chloroflexi_Ktedonobacteria_Ktedonobacterales_Ktedonobacteraceae_Ktedonobacter_PFAM",118
"WP_065745757_Proteobacteria_Alphaproteobacteria_Rhizobiales_Bradyrhizobiaceae_Bradyrhizobium_PFAM",118
"WP_012334616_Proteobacteria_Alphaproteobacteria_Rhizobiales_Methylobacteriaceae_Methylobacterium_PFAM",118
"WP_015929875_Proteobacteria_Alphaproteobacteria_Rhizobiales_Methylobacteriaceae_Methylobacterium_PFAM",118
"WP_014689068_Actinobacteria_Actinobacteria_Micromonosporales_Micromonosporaceae_Actinoplanes_PFAM",118
"WP_014427121_Proteobacteria_Betaproteobacteria_Burkholderiales_No_family_Rubrivivax_PFAM",118
"WP_040042483_Proteobacteria_Betaproteobacteria_Burkholderiales_Oxalobacteraceae_Noviherbaspirillum_PFAM",118
"WP_012873609_Chloroflexi_Thermomicrobia_Sphaerobacterales_Sphaerobacteraceae_Sphaerobacter_PFAM",118
"WP_013274070_Firmicutes_Clostridiales_Clostridia_NA_Lacrimispora_PFAM",117
"WP_014356832_Firmicutes_Clostridia_Clostridiales_Eubacteriaceae_Acetobacterium_PFAM",117
"WP_006874283_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Anaerotruncus_PFAM",117
"WP_073993651_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Parasporobacterium_PFAM",117
"WP_075680087_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Roseburia_PFAM",117
"WP_016228298_Firmicutes_Clostridia_Lachnospiraceae_NA_Lachnospiraceae_PFAM",117
"WP_054935629_Firmicutes_Clostridia_Thermoanaerobacterales_Thermoanaerobacteraceae_Moorella_PFAM",116
"WP_013907448_Thermodesulfobacteria_Thermodesulfobacteria_Thermodesulfobacteriales_Thermodesulfobacteriaceae_Thermodesulfatator_PFAM",116
"WP_015740010_Firmicutes_Clostridia_Thermoanaerobacterales_Thermoanaerobacteraceae_Ammonifex_PFAM",116
"WP_013705514_Proteobacteria_Deltaproteobacteria_Syntrophobacterales_Syntrophaceae_Desulfobacca_PFAM",116
"WP_015751652_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfohalobiaceae_Desulfohalobium_PFAM",116
"WP_008869895_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfohalobiaceae_Desulfonatronospira_PFAM",116
"WP_009302339_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfovibrionaceae_Desulfovibrio_PFAM",116
"WP_005030054_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfovibrionaceae_Bilophila_PFAM",116
"WP_015946609_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfovibrionaceae_Desulfovibrio_PFAM",116
"WP_020879023_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfovibrionaceae_Desulfovibrio_PFAM",116
"WP_012546361_Nitrospirae_Nitrospira_Nitrospirales_Nitrospiraceae_Thermodesulfovibrio_PFAM",116
"WP_068860385_Nitrospirae_Nitrospira_Nitrospirales_Nitrospiraceae_Thermodesulfovibrio_PFAM",115
"WP_012545285_Nitrospirae_Nitrospira_Nitrospirales_Nitrospiraceae_Thermodesulfovibrio_PFAM",115
